ENN,2021ebit,2021payable,2021receivable,2022ebit,2022payable,2022receivable,2023ebit,2023payable,2023receivable,2024ebit,2024payable,2024receivable,2025ebit,2025payable,2025receivable
2204049865,40839.0,1.0,0.0,12685.0,0.0,0.0,55285.0,0.0,0.0,31682.0,,0.0,83127.0,0.0,0.0
4004007854,1349.0,,,432.0,,,73.0,,,56.0,0.0,,4599.0,0.0,0.0
2635253424,,,,125028.0,,0.0,296790.0,,0.0,186582.0,,16.0,-28455.0,0.0,21591.0
2130020989,-5004.0,,0.0,-285.0,,0.0,12191.0,,0.0,-3607.0,,0.0,1513.0,0.0,0.0
1628000036,160.0,,0.0,699.0,196.0,0.0,790.0,107.0,0.0,9847.0,0.0,0.0,11977.0,121.0,0.0
7733272590,7917.0,0.0,0.0,-7505.0,121.0,0.0,11306.0,0.0,0.0,16007.0,,,12003.0,0.0,0.0
6658498869,3911.0,,0.0,7888.0,,0.0,11095.0,,0.0,14888.0,,0.0,-7388.0,0.0,0.0
6658399875,68351.0,0.0,1339.0,21612.0,0.0,4862.0,14863.0,10167.0,1762.0,230912.0,4209.0,12380.0,606575.0,4217.0,42299.0
1326233316,939.0,,,315.0,,,384.0,,,-561.0,,1020.0,8438.0,8389.0,157.0
7709463450,-4836.0,596.0,0.0,1364.0,615.0,0.0,1742.0,336.0,0.0,1605.0,364.0,568.0,36638.0,507.0,1767.0
7716161259,1176.0,,,2744.0,,,1143.0,,0.0,5583.0,,0.0,12177.0,0.0,0.0
7751006030,16551.0,7.0,8.0,-3270.0,3445.0,4.0,,,,,,,,,
7743104147,11388.0,,67.0,5195.0,,0.0,,,,,,,,,
6950188979,9917.0,2.0,0.0,-2170.0,0.0,0.0,2053.0,11.0,0.0,4347.0,0.0,0.0,20769.0,0.0,0.0
3849062080,0.0,,0.0,,,,,,,,,,,,
5038081985,1483.0,,12496.0,1515.0,,8810.0,25144.0,,7891.0,37015.0,,7891.0,27430.0,0.0,7887.0
6509008758,42621.0,,735.0,37911.0,,0.0,21358.0,,0.0,11681.0,,0.0,-10322.0,0.0,0.0
7806508025,373.0,,,235.0,,,562.0,,,544.0,,,770.0,0.0,0.0
3123300970,-66510.0,228.0,2230.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0
7814378429,7758.0,1049.0,743.0,5413.0,3072.0,775.0,705.0,631.0,1326.0,125.0,221.0,1612.0,3161.0,497.0,920.0
5190113760,34486.0,0.0,0.0,1721.0,1.0,0.0,46382.0,0.0,0.0,39719.0,170.0,0.0,44009.0,10.0,0.0
2634071929,7840.0,6629.0,0.0,6696.0,4795.0,0.0,2168.0,0.0,0.0,1800.0,,0.0,1799.0,0.0,0.0
2311315286,8754.0,8.0,,115838.0,4.0,315.0,11792.0,123.0,950.0,2365.0,2.0,2919.0,16613.0,8.0,1683.0
5009115284,2487.0,,0.0,1757.0,,0.0,853.0,,0.0,1076.0,,0.0,-35941.0,0.0,0.0
4346054367,-2880.0,,0.0,-687.0,,0.0,0.0,,0.0,,,,,,
6902033460,1161.0,,0.0,623.0,614.0,0.0,616.0,703.0,0.0,265.0,0.0,0.0,438.0,0.0,0.0
7733661420,54068.0,0.0,0.0,40029.0,,0.0,43035.0,,0.0,100938.0,370.0,39825.0,263590.0,3.0,61732.0
9103000182,-5766.0,,,2131.0,,,12995.0,,,-8062.0,,,-17307.0,0.0,0.0
6950240837,39326.0,,0.0,-2730.0,,0.0,32537.0,,0.0,6889.0,,0.0,87.0,0.0,0.0
5259125609,212.0,,,196.0,,,1018.0,,32.0,230.0,,180.0,328.0,0.0,30.0
6952037365,196.0,,,300.0,,,4415.0,,,5402.0,,,24.0,0.0,0.0
7203420211,18886.0,,0.0,-3346.0,,0.0,28046.0,192.0,0.0,68772.0,181.0,0.0,2130.0,85.0,0.0
7710422169,,,,-1946.0,,0.0,245.0,,0.0,,,,-11003.0,0.0,0.0
7743610545,457.0,,,208.0,,,82.0,,,1.0,,,0.0,0.0,0.0
2721131243,-5470.0,,,6784.0,,,-1243.0,,,574.0,,,,,
7203371772,377.0,,,605.0,,,712.0,,,927.0,,,264.0,0.0,30.0
3906366698,,,,7228.0,0.0,0.0,127194.0,,0.0,83442.0,,0.0,60565.0,6847.0,0.0
6670259419,8355.0,,74.0,8863.0,3394.0,28.0,14851.0,5474.0,90.0,2481.0,7016.0,5955.0,-29581.0,3401.0,149.0
917027356,-1007.0,2013.0,,2244.0,286.0,,,,,,,,,,
2543154670,-1007.0,2013.0,,2244.0,286.0,,,,,,,,,,
7604354206,284.0,,,186.0,,0.0,-179.0,,0.0,,,,,,
1655334214,-4640.0,2594.0,,-17.0,3830.0,3830.0,-10969.0,4317.0,0.0,,,,-1.0,0.0,0.0
1609013880,367.0,,,836.0,,,1223.0,,,5020.0,2100.0,,2559.0,1093.0,0.0
6166096107,355.0,0.0,,2610.0,,,8273.0,,,4592.0,,,5789.0,0.0,0.0
6659207600,1781.0,223.0,,3701.0,278.0,,4658.0,0.0,,5872.0,,1337.0,21247.0,0.0,0.0
7718981480,1989.0,,0.0,1046.0,,0.0,628.0,,0.0,,,,,,
6318234481,3177.0,,1.0,3602.0,,31.0,2991.0,,2.0,3256.0,,702.0,13305.0,894.0,9964.0
2543121643,30919.0,,,72720.0,,,78049.0,10801.0,,133370.0,5466.0,41.0,120240.0,4855.0,0.0
2631038458,3823.0,,,20058.0,,0.0,6600.0,272.0,0.0,26488.0,1023.0,,24034.0,0.0,0.0
7734424550,16826.0,,,-2709.0,,,-33889.0,,,-67154.0,,,-5863.0,0.0,0.0
3528281820,118961.0,0.0,332.0,65869.0,,4581.0,-945.0,59.0,2217.0,1854.0,1353.0,6948.0,-127682.0,160.0,2335.0
7604382683,,,,181.0,,0.0,35.0,,0.0,217.0,,0.0,259.0,0.0,0.0
7727831064,20459.0,5929.0,0.0,12831.0,5896.0,10.0,25100.0,7676.0,0.0,40998.0,14264.0,1931.0,37837.0,18932.0,5383.0
6418000737,3296.0,,,2634.0,,,8937.0,,,1417.0,,,-6205.0,0.0,0.0
