Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСПЕЦСЕРВИС""",Юридическое лицо,Среднее предприятие,8602194090,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,10.08.2020,Да,55.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,7814567850,78 - г.Санкт-Петербург,,,01.08.2016,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,3523012743,35 - Вологодская область,,д Ленино,01.08.2016,Нет,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,8911030050,89 - Ямало-Ненецкий автономный округ,,пгт Уренгой,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,4345482842,43 - Кировская область,г Киров,,10.08.2018,Да,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7203409391,72 - Тюменская область,г Тюмень,,10.02.2017,Нет,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7724946123,77 - г.Москва,,,10.08.2019,Нет,43.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРСТРОЙ""",Юридическое лицо,Малое предприятие,7017137609,70 - Томская область,г Томск,,01.08.2016,Нет,48.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЗАПИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,7810396032,78 - г.Санкт-Петербург,,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЗАПСТАЛЬКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,2901253787,29 - Архангельская область,г Архангельск,,01.08.2016,Нет,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЗАПСТАЛЬКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7817039368,78 - г.Санкт-Петербург,г Колпино,,01.08.2016,Да,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЗАПЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,7842393940,78 - г.Санкт-Петербург,,,01.08.2016,Нет,34.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВИНВЕСТСОЮЗ""",Юридическое лицо,Малое предприятие,9204016848,92 - г.Севастополь,,,01.08.2016,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАВСТРОЙ""",Юридическое лицо,Малое предприятие,608016205,06 - Республика Ингушетия,г Назрань,тер Центральный округ,01.08.2016,Нет,29.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВКАПСТРОЙ""",Юридическое лицо,Малое предприятие,917035244,09 - Карачаево-Черкесская Республика,г Черкесск,,10.09.2018,Нет,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВМОНОЛИТ-МОНТАЖ""",Юридическое лицо,Малое предприятие,9204564072,92 - г.Севастополь,,,10.02.2017,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВПРОЕКТМОНТАЖ""",Юридическое лицо,Малое предприятие,9204003550,92 - г.Севастополь,,,01.08.2016,Да,74.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,9201015388,92 - г.Севастополь,,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕГЕЖСКОЕ СТРОИТЕЛЬНО-МОНТАЖНОЕ УПРАВЛЕНИЕ""",Юридическое лицо,Малое предприятие,1006012646,10 - Республика Карелия,г Сегежа,,01.08.2016,Да,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕГМЕНТ СПЕШЛ""",Юридическое лицо,Малое предприятие,7708369736,77 - г.Москва,,,10.02.2020,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕГМЕНТ СТ""",Юридическое лицо,Малое предприятие,7725301135,77 - г.Москва,,,10.08.2019,Да,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕДАНКАСТРОЙ""",Юридическое лицо,Малое предприятие,2536296498,25 - Приморский край,г Владивосток,,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЕНА МОНТАЖ""",Юридическое лицо,Среднее предприятие,7801421194,78 - г.Санкт-Петербург,,,01.08.2016,Да,83.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЕНГА""",Юридическое лицо,Малое предприятие,323344552,03 - Республика Бурятия,г Улан-Удэ,,10.08.2017,Нет,6.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЛМА""",Юридическое лицо,Малое предприятие,7728200047,77 - г.Москва,,,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛФ""",Юридическое лицо,Среднее предприятие,2222022619,22 - Алтайский край,г Барнаул,,10.07.2022,Да,63.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬСТРОЙ""",Юридическое лицо,Малое предприятие,1701008867,17 - Республика Тыва,г Кызыл,,01.08.2016,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬСТРОЙ""",Юридическое лицо,Среднее предприятие,1834050040,18 - Удмуртская Республика,г Ижевск,,10.08.2019,Нет,129.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЛЬЭЛЕКТРОСТРОЙ""",Юридическое лицо,Малое предприятие,7901542241,79 - Еврейская автономная область,г Биробиджан,,01.08.2016,Нет,28.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕНА""",Юридическое лицо,Малое предприятие,3123411969,31 - Белгородская область,г Белгород,,10.05.2017,Нет,63.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕНИ""",Юридическое лицо,Малое предприятие,7730278019,77 - г.Москва,,,10.05.2022,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВАЛ""",Юридическое лицо,Малое предприятие,9705167580,77 - г.Москва,,,10.04.2022,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС +""",Юридическое лицо,Малое предприятие,4501199641,45 - Курганская область,г Курган,,10.08.2017,Нет,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ГРАД""",Юридическое лицо,Малое предприятие,7703425419,77 - г.Москва,,,10.05.2017,Да,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС МТС""",Юридическое лицо,Малое предприятие,6685114470,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ПЛЮС""",Юридическое лицо,Малое предприятие,3245019981,32 - Брянская область,,с Супонево,10.04.2022,Нет,95.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС СВАРКА""",Юридическое лицо,Малое предприятие,6658249044,66 - Свердловская область,г Екатеринбург,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-КОМ""",Юридическое лицо,Малое предприятие,7716667246,77 - г.Москва,,,01.08.2016,Да,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-ТЕХ""",Юридическое лицо,Малое предприятие,5001105326,50 - Московская область,г Балашиха,,01.08.2016,Да,48.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС-ЭНЕРГО""",Юридическое лицо,Малое предприятие,8604042801,86 - Ханты-Мансийский автономный округ - Югра,г Нефтеюганск,,01.08.2016,Нет,39.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСНАЯ МОНТАЖНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,4825040918,48 - Липецкая область,г Липецк,,01.08.2016,Нет,68.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСПРО""",Юридическое лицо,Малое предприятие,1427010838,14 - Республика Саха (Якутия),,с Борогонцы,01.08.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙ""",Юридическое лицо,Малое предприятие,1215072663,12 - Республика Марий Эл,г Йошкар-Ола,,01.08.2016,Нет,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙ""",Юридическое лицо,Малое предприятие,8605029850,86 - Ханты-Мансийский автономный округ - Югра,г Мегион,,10.01.2018,Да,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙ""",Юридическое лицо,Малое предприятие,3128037338,31 - Белгородская область,г Старый Оскол,,01.08.2016,Да,13.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙИНДУСТРИЯ""",Юридическое лицо,Малое предприятие,7733186831,77 - г.Москва,,,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,7801640710,78 - г.Санкт-Петербург,,,01.08.2016,Нет,1.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИССТРОЙРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7714146801,77 - г.Москва,,,01.08.2016,Да,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИСЭНЕРГОСТРОЙ""",Юридическое лицо,Малое предприятие,3662218244,36 - Воронежская область,г Воронеж,,01.08.2016,Нет,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРКОНС УПРАВЛЕНИЕ ПРОЕКТАМИ""",Юридическое лицо,Малое предприятие,5048033412,77 - г.Москва,,,01.08.2016,Нет,30.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРПУХОВСКИЙСТРОИТЕЛЬНЫЙСЕТЕВОЙРЕСУРС""",Юридическое лицо,Малое предприятие,5077028618,50 - Московская область,,,01.08.2016,Нет,44.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЕВЫЕ КОММУНИКАЦИИ""",Юридическое лицо,Малое предприятие,6312188253,63 - Самарская область,г Самара,,10.07.2018,Нет,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЕВЫЕ ЭНЕРГОТЕХНОЛОГИИ""",Юридическое лицо,Малое предприятие,7810926547,78 - г.Санкт-Петербург,,,10.09.2021,Нет,7.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТИ И СЕРВИС""",Юридическое лицо,Малое предприятие,7420015958,74 - Челябинская область,,п Тимирязевский,01.08.2016,Да,31.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЬ""",Юридическое лицо,Малое предприятие,7328075828,77 - г.Москва,,,01.08.2016,Да,20.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЬИНЖСТРОЙ-47""",Юридическое лицо,Среднее предприятие,7727295529,77 - г.Москва,,,10.07.2022,Нет,215.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЬСТРОЙ""",Юридическое лицо,Малое предприятие,7806422709,78 - г.Санкт-Петербург,,,01.08.2016,Нет,36.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИ БИ АЙ ДАТА""",Юридическое лицо,Малое предприятие,2310018298,23 - Краснодарский край,г Краснодар,,01.08.2016,Да,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБ ИНЖИНИРИНГ""",Юридическое лицо,Малое предприятие,2225196613,54 - Новосибирская область,г Новосибирск,,10.08.2020,Да,45.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБ-РЕКОН""",Юридическое лицо,Малое предприятие,7022009793,70 - Томская область,г Стрежевой,,01.08.2016,Да,55.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБВИТОСЕРВИС""",Юридическое лицо,Малое предприятие,8617013981,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,01.08.2016,Да,38.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБДОРИНВЕСТ""",Юридическое лицо,Малое предприятие,7014038720,70 - Томская область,г Томск,,01.08.2016,Нет,3.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБДОРСТРОЙ УПРАВЛЕНИЕ""",Юридическое лицо,Малое предприятие,3812157882,38 - Иркутская область,,рп Маркова,01.08.2016,Нет,23.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБДОРСТРОЙ""",Юридическое лицо,Малое предприятие,5406629783,54 - Новосибирская область,г Новосибирск,,10.02.2017,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБДОРСТРОЙ""",Юридическое лицо,Малое предприятие,8901012180,89 - Ямало-Ненецкий автономный округ,,пгт Пангоды,01.08.2016,Да,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИНВЕСТ""",Юридическое лицо,Малое предприятие,5406776185,54 - Новосибирская область,г Новосибирск,,10.08.2017,Да,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКАЯ ЭНЕРГОСТРОИТЕЛЬНАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,8602185650,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,01.08.2016,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКИЕ ФАСАДЫ КУЗБАСС""",Юридическое лицо,Малое предприятие,4253020157,42 - Кемеровская область,г Новокузнецк,,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКИЙ МЕДВЕДЬ - МОНОЛИТ""",Юридическое лицо,Малое предприятие,5503202884,55 - Омская область,г Омск,,01.08.2016,Да,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКИЙ СТРОИТЕЛЬНЫЙ ТРЕСТ № 4""",Юридическое лицо,Малое предприятие,5406583472,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,27.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРСКОЕ РМСУ""",Юридическое лицо,Малое предприятие,3847000716,38 - Иркутская область,,с Тангуй,01.08.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬ Т""",Юридическое лицо,Малое предприятие,4205198334,42 - Кемеровская область,г Кемерово,,01.08.2016,Нет,57.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬ-КОМПЛЕКТ СТРОЙ""",Юридическое лицо,Малое предприятие,5404352399,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,11.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬ""",Юридическое лицо,Малое предприятие,8619010425,86 - Ханты-Мансийский автономный округ - Югра,,пгт Пойковский,01.08.2016,Да,131.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬ""",Юридическое лицо,Малое предприятие,4246002044,42 - Кемеровская область,пгт Яя,,01.08.2016,Да,16.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬЕВРОСТРОЙ""",Юридическое лицо,Малое предприятие,2461227744,24 - Красноярский край,г Красноярск,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬИНВЕСТ""",Юридическое лицо,Малое предприятие,2460079780,24 - Красноярский край,г Красноярск,,01.08.2016,Да,41.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬПРОМКОМПЛЕКТ""",Юридическое лицо,Малое предприятие,7202121875,72 - Тюменская область,г Тюмень,,01.08.2016,Да,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИРЬСПЕЦМОНТАЖ""",Юридическое лицо,Малое предприятие,411123827,04 - Республика Алтай,г Горно-Алтайск,,10.09.2016,Нет,17.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБКАПСТРОЙ""",Юридическое лицо,Малое предприятие,5403006244,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБКАПСТРОЙ""",Юридическое лицо,Малое предприятие,411172782,04 - Республика Алтай,г Горно-Алтайск,,10.08.2017,Да,10.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБКРАН""",Юридическое лицо,Малое предприятие,5410009937,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,33.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБЛИТЭНЕРГО""",Юридическое лицо,Малое предприятие,5403176334,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,61.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБМЕХСТРОЙ""",Юридическое лицо,Малое предприятие,8602147598,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,01.08.2016,Да,12.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБПОЛ""",Юридическое лицо,Малое предприятие,4205393800,42 - Кемеровская область,г Кемерово,,10.01.2021,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБПРОМ""",Юридическое лицо,Малое предприятие,2463246615,24 - Красноярский край,г Красноярск,,01.08.2016,Нет,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБПРОМСТРОЙ №9""",Юридическое лицо,Среднее предприятие,8602236110,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,10.07.2023,Да,85.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБПРОМСТРОЙ-МОНТАЖ""",Юридическое лицо,Среднее предприятие,8602236199,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,10.12.2020,Нет,227.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБПРОМСТРОЙ""",Юридическое лицо,Малое предприятие,4004018239,40 - Калужская область,,д Обухово,01.08.2016,Нет,47.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБРЕМОНТСЕРВИС""",Юридическое лицо,Малое предприятие,5406377430,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,35.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСПЕЦАВТОМАТИКА""",Юридическое лицо,Малое предприятие,8602264527,86 - Ханты-Мансийский автономный округ - Югра,г Сургут,,01.08.2016,Да,37.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСПЕЦПРОМСТРОЙ""",Юридическое лицо,Малое предприятие,5404046874,54 - Новосибирская область,г Новосибирск,,10.11.2016,Да,0.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСПЕЦСТРОЙ""",Юридическое лицо,Малое предприятие,2465323978,24 - Красноярский край,г Красноярск,,10.06.2019,Нет,32.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСПЕЦЭНЕРГОМОНТАЖ""",Юридическое лицо,Малое предприятие,323112706,75 - Забайкальский край,г Чита,,01.08.2016,Да,25.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙ""",Юридическое лицо,Малое предприятие,5406579765,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,22.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙ""",Юридическое лицо,Малое предприятие,5405488280,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,4.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙ""",Юридическое лицо,Малое предприятие,5402576724,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,8.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙАЛЬЯНС""",Юридическое лицо,Среднее предприятие,7204103857,72 - Тюменская область,г Тюмень,,01.08.2016,Нет,85.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙКОМ""",Юридическое лицо,Малое предприятие,2464232848,24 - Красноярский край,г Красноярск,,01.08.2016,Да,24.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙМОНТАЖ""",Юридическое лицо,Малое предприятие,2225158223,22 - Алтайский край,г Барнаул,,01.08.2016,Да,14.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙПРОЕКТ""",Юридическое лицо,Малое предприятие,7017421842,70 - Томская область,г Томск,,10.04.2017,Нет,2.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙРЕМОНТ""",Юридическое лицо,Малое предприятие,411140847,04 - Республика Алтай,г Горно-Алтайск,,10.09.2016,Нет,19.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙРЕМОНТ""",Юридическое лицо,Малое предприятие,4217193179,42 - Кемеровская область,г Новокузнецк,,10.03.2019,Нет,26.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙРЕМОНТ""",Юридическое лицо,Среднее предприятие,5501087474,54 - Новосибирская область,г Новосибирск,,10.08.2020,Да,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,3802013497,38 - Иркутская область,г Бодайбо,,01.08.2016,Нет,15.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1901060906,24 - Красноярский край,г Красноярск,,01.08.2016,Нет,9.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБСТРОЙТРАСТ""",Юридическое лицо,Малое предприятие,5404428440,54 - Новосибирская область,г Новосибирск,,01.08.2016,Нет,18.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТЕК""",Юридическое лицо,Малое предприятие,4253011321,42 - Кемеровская область,,п/ст Ерунаково,01.08.2016,Нет,85.0
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБТЕПЛОИЗОЛЯЦИЯ""",Юридическое лицо,Малое предприятие,3801125825,38 - Иркутская область,г Ангарск,,01.08.2016,Да,19.0
