Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНЫЙ ЦЕНТР ВНЕДРЕНИЯ""",Юридическое лицо,Малое предприятие,6450042805,64 - Саратовская область,г Саратов,,10.07.2023,Да,6.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСК""",Юридическое лицо,Малое предприятие,2466000401,24 - Красноярский край,г Красноярск,,10.08.2017,Нет,47.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДСУ-3""",Юридическое лицо,Малое предприятие,6013000288,60 - Псковская область,г Остров,,10.08.2017,Да,16.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЕКБ-ОТДЕЛСТРОЙ""",Юридическое лицо,Среднее предприятие,6670160730,66 - Свердловская область,г Екатеринбург,,10.08.2017,Нет,53.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЗДРИНСКАЯ ПМК""",Юридическое лицо,Малое предприятие,4006002065,40 - Калужская область,г. Жиздра,,10.08.2017,Нет,16.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЖИЛТРАНС""",Юридическое лицо,Малое предприятие,7733799210,76 - Ярославская область,г Ярославль,,10.08.2017,Да,76.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗАРЕЧЬЕ""",Юридическое лицо,Малое предприятие,1653008582,16 - Республика Татарстан (Татарстан),г Казань,,10.07.2023,Да,16.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЗОНАЛЬНОЕ""",Юридическое лицо,Малое предприятие,6517004027,65 - Сахалинская область,,СЕЛО ЗОНАЛЬНОЕ,10.08.2017,Да,7.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИМПУЛЬС""",Юридическое лицо,Малое предприятие,2528000926,25 - Приморский край,,пгт Терней,10.08.2017,Да,32.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНВЕСТСТРОЙГАРАНТ""",Юридическое лицо,Малое предприятие,7705585440,77 - г.Москва,,,10.08.2017,Нет,17.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИННОВАЦИОННОЕ УПРАВЛЕНИЕ СТРОИТЕЛЬСТВОМ""",Юридическое лицо,Малое предприятие,7719243661,77 - г.Москва,,,10.08.2017,Нет,23.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНЭФКОР""",Юридическое лицо,Малое предприятие,7720019008,77 - г.Москва,,,10.11.2019,Да,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАЛИНИНГРАДАГРОСТРОЙ""",Юридическое лицо,Малое предприятие,3906034170,39 - Калининградская область,г Калининград,,10.08.2017,Да,27.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КАПИТАЛЬНОЕ СТРОИТЕЛЬСТВО И РЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7714406538,77 - г.Москва,,,10.08.2018,Нет,87.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КЁНИГ-ХОЛЬЦ""",Юридическое лицо,Малое предприятие,3903008430,39 - Калининградская область,г Светлогорск,,10.08.2017,Да,21.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ ""СВЯЗЬ И ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",Юридическое лицо,Малое предприятие,7719258347,77 - г.Москва,,,10.08.2018,Да,5.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПАНИЯ СПЕЦСТРОЙРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,7729655368,77 - г.Москва,,,10.09.2022,Да,19.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЛЕКСНЫЕ СТРОИТЕЛЬНЫЕ РЕШЕНИЯ""",Юридическое лицо,Малое предприятие,7604156684,76 - Ярославская область,г Ярославль,,10.08.2017,Нет,19.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСАЛТИНГСТРОЙИНВЕСТ""",Юридическое лицо,Малое предприятие,7017334036,70 - Томская область,г Томск,,10.08.2017,Да,146.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНТИ""",Юридическое лицо,Среднее предприятие,9701004970,77 - г.Москва,,,10.08.2017,Нет,74.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНЦЕРН ""ЦЭМ""",Юридическое лицо,Малое предприятие,6228038066,62 - Рязанская область,г Рязань,,10.08.2017,Нет,8.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОТТЕДЖ-ИНДУСТРИЯ""",Юридическое лицо,Малое предприятие,3627008639,36 - Воронежская область,г Россошь,,10.08.2017,Да,19.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОШЕЛЕВ-ПРОЕКТ""",Юридическое лицо,Малое предприятие,6312040240,63 - Самарская область,г Самара,,10.08.2019,Нет,4.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОДАРСКИЙ ЗАВОД ЖЕЛЕЗОБЕТОННЫХ ИЗДЕЛИЙ №1""",Юридическое лицо,Среднее предприятие,2311011320,23 - Краснодарский край,г Краснодар,,10.07.2023,Нет,11.0
